其它,#genre#
BRTV生活,http://221.216.143.126:4000/rtp/239.3.1.117:8000
大湾区卫视,http://221.216.143.126:4000/rtp/239.3.1.161:8001
延庆电视台,http://221.216.143.126:4000/rtp/239.3.1.187:8001
收视指南,http://221.216.143.126:4000/rtp/239.3.1.193:8012
热播剧场,http://221.216.143.126:4000/rtp/239.3.1.194:9020
经典电影,http://221.216.143.126:4000/rtp/239.3.1.195:9024
4K超清[超清],http://221.216.143.126:4000/rtp/239.3.1.249:8001
淘电影,http://221.216.143.126:4000/rtp/239.3.1.250:8001
财富天下,http://221.216.143.126:4000/rtp/239.3.1.53:9136
CETV2,http://221.216.143.126:4000/rtp/239.3.1.54:4120
CETV3,http://221.216.143.126:4000/rtp/239.3.1.55:4120
CETV4,http://221.216.143.126:4000/rtp/239.3.1.56:4120
金鹰纪实,http://221.216.143.126:4000/rtp/239.3.1.58:8156
城市剧场,http://221.216.143.126:4000/rtp/239.3.1.67:4120
军旅剧场,http://221.216.143.126:4000/rtp/239.3.1.68:4120
古装剧场,http://221.216.143.126:4000/rtp/239.3.1.69:4120
音乐现场,http://221.216.143.126:4000/rtp/239.3.1.70:4120
风尚生活,http://221.216.143.126:4000/rtp/239.3.1.71:4120
美妆,http://221.216.143.126:4000/rtp/239.3.1.72:4120
精选,http://221.216.143.126:4000/rtp/239.3.1.74:4120
解密,http://221.216.143.126:4000/rtp/239.3.1.75:4120
军事,http://221.216.143.126:4000/rtp/239.3.1.76:4120
国学,http://221.216.143.126:4000/rtp/239.3.1.77:4120
戏曲,http://221.216.143.126:4000/rtp/239.3.1.78:4120
早教,http://221.216.143.126:4000/rtp/239.3.1.79:4120
好学生,http://221.216.143.126:4000/rtp/239.3.1.81:4120
鉴赏,http://221.216.143.126:4000/rtp/239.3.1.82:4120
墨宝,http://221.216.143.126:4000/rtp/239.3.1.83:4120
光影,http://221.216.143.126:4000/rtp/239.3.1.84:4120
台球,http://221.216.143.126:4000/rtp/239.3.1.85:4120
爱生活,http://221.216.143.126:4000/rtp/239.3.1.86:4120
武术,http://221.216.143.126:4000/rtp/239.3.1.87:4120
高网,http://221.216.143.126:4000/rtp/239.3.1.88:4120
足球,http://221.216.143.126:4000/rtp/239.3.1.89:4120
武侠剧场,http://221.216.143.126:4000/rtp/239.3.1.90:4120
喜剧影院,http://221.216.143.126:4000/rtp/239.3.1.91:4120
动作影院,http://221.216.143.126:4000/rtp/239.3.1.92:4120
家庭影院,http://221.216.143.126:4000/rtp/239.3.1.93:4120
每日影院,http://221.216.143.126:4000/rtp/239.3.1.94:4120
淘剧场,http://221.216.143.126:4000/rtp/239.3.1.95:8001
房山电视台,http://221.216.143.126:4000/rtp/239.3.1.96:8001
风云音乐,http://222.85.207.79:9901/hls/17/index.m3u8
南方卫视,http://222.85.207.79:9901/hls/45/index.m3u8
旅游卫视,http://61.175.237.198:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
民生休闲,http://61.175.237.198:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
杭州影视,http://61.175.237.198:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CFC中国金融,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1028
风云剧场,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1062
怀旧剧场,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1063
风云音乐,http://81.69.20.196/mqlive.m3u8?ip=120.2.68.35:10000&id=live1064
南宁都市,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
南宁综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁公共,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
林正英电影,http://swrh.ngtanyanfei.top:8081/dl/migu.php?id=jsjc
湘西新闻综合,http://xiongwei.x3322.net:9999/udp/239.76.245.208:1234
湘西公共,http://xiongwei.x3322.net:9999/udp/239.76.245.209:1234
凤凰中文,http://xiongwei.x3322.net:9999/udp/239.76.246.7:1234
南方卫视,http://xiongwei.x3322.net:9999/udp/239.76.252.114:9000
金鹰纪实,http://xiongwei.x3322.net:9999/udp/239.76.252.122:9000
快乐购,http://xiongwei.x3322.net:9999/udp/239.76.252.125:9000
军旅剧场,http://xiongwei.x3322.net:9999/udp/239.76.252.134:9000
CETV1,http://xiongwei.x3322.net:9999/udp/239.76.252.192:9000
芒果乐搜,http://xiongwei.x3322.net:9999/udp/239.76.252.200:9000
芒果乐活,http://xiongwei.x3322.net:9999/udp/239.76.252.201:9000
长沙影视,http://xiongwei.x3322.net:9999/udp/239.76.252.204:9000
院线,http://xiongwei.x3322.net:9999/udp/239.76.252.217:9000
古装剧场,http://xiongwei.x3322.net:9999/udp/239.76.252.219:9000
张家界新闻综合,http://xiongwei.x3322.net:9999/udp/239.76.252.234:9000
张家界公共,http://xiongwei.x3322.net:9999/udp/239.76.252.235:9000
茶频道,http://xiongwei.x3322.net:9999/udp/239.76.252.239:9000
CETV2,http://xiongwei.x3322.net:9999/udp/239.76.252.253:9000
金鹰纪实,http://xiongwei.x3322.net:9999/udp/239.76.253.110:9000
长沙新闻,http://xiongwei.x3322.net:9999/udp/239.76.253.121:9000
优优宝贝,http://xiongwei.x3322.net:9999/udp/239.76.253.13:9000
中国气象,http://xiongwei.x3322.net:9999/udp/239.76.253.61:9000
怀化新闻综合,http://xiongwei.x3322.net:9999/udp/239.76.255.12:9000
湘潭公共,http://xiongwei.x3322.net:9999/udp/239.76.255.5:9000
保定新闻综合,http://zdwty.eatuo.com:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共频道,http://zdwty.eatuo.com:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://zdwty.eatuo.com:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://zdwty.eatuo.com:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
BTV冬奥纪实,http://zdwty.eatuo.com:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
