频道,#genre#
黑龙江卫视超清-8M,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ.m3u8
湖北卫视超清-8M,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HUBEI-HQ/G_HUBEI-HQ.m3u8
深圳卫视超清-8M,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
数字付费,#genre#
4K超清,http://123.118.52.98:8888/rtp/239.3.1.249:8001
4K超清,http://123.118.53.89:9901/tsfile/live/1002_1.m3u8
4K超清,http://123.120.14.221:4022/rtp/239.3.1.249:8001
4K超清,http://111.196.132.180:20000/rtp/239.3.1.249:8001
4K超清,http://114.253.247.196:14000/rtp/239.3.1.249:8001
4K超清,http://123.113.248.110:8888/rtp/239.3.1.249:8001
4K超清,http://123.117.161.184:8888/rtp/239.3.1.249:8001
4K超清,http://123.117.175.47:8888/rtp/239.3.1.249:8001
4K超清,http://123.120.14.233:8888/rtp/239.3.1.249:8001
4K超清,http://124.64.236.52:8012/rtp/239.3.1.249:8001
4K超清,http://221.222.177.199:4022/rtp/239.3.1.249:8001
BRTV影视,http://123.118.52.98:8888/rtp/239.3.1.158:8000
BTV体育,http://123.118.53.89:9901/tsfile/live/1005_1.m3u8
BTV影视,http://123.118.53.89:9901/tsfile/live/0019_1.m3u8
CHC动作电影,http://111.162.224.172:9999/udp/225.1.1.215:5002
CHC动作电影,http://222.90.155.172:8888/rtp/239.112.205.207:5140
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC动作电影,http://171.118.139.138:8082/rtp/226.0.2.94:8012
CHC动作电影,http://1.82.70.21:8021/rtp/239.112.205.207:5140
CHC动作电影,http://183.188.20.245:6001/rtp/226.0.2.94:8012
CHC动作电影,http://222.142.130.204:8089/rtp/225.1.4.208:1261
CHC家庭影院,http://111.162.224.172:9999/udp/225.1.1.213:5002
CHC家庭影院,http://222.90.155.172:8888/rtp/239.112.205.205:5140
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC家庭影院,https://iptv.luas.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/07205d7188-0-0-f235a6e0e8dff537848f3fa9cc731bb5/index.m3u8
CHC家庭影院,http://171.118.139.138:8082/rtp/226.0.2.240:9820
CHC家庭影院,http://1.82.70.21:8021/rtp/239.112.205.205:5140
CHC家庭影院,http://183.188.20.245:6001/rtp/226.0.2.240:9820
CHC家庭影院,http://222.142.130.204:8089/rtp/225.1.4.209:1262
CHC高清电影,http://222.142.130.204:8089/rtp/225.1.4.207:1260
CHC高清电影,http://1.82.70.21:8021/rtp/239.112.205.206:5140
CHC高清电影,http://111.162.224.172:9999/udp/225.1.1.214:5002
CHC高清电影,http://222.90.155.172:8888/rtp/239.112.205.206:5140
CHC高清电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
CCTV世界地理,http://183.188.20.245:6001/rtp/226.0.2.222:9688
CCTV兵器科技,http://183.188.20.245:6001/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://171.118.139.138:8082/rtp/226.0.2.224:9704
CCTV怀旧剧场,http://183.188.20.245:6001/rtp/226.0.2.224:9704
